id,err_sentence,cor_sentence
grm924197,갑자기 침대에서 일어나자 순간적으로 심한 어지러움을 느꼈다. 빈혈 증세일 수 있으니 연세대학교 병원에 가서 정확한 진단을 받아봐야겠다.,test
grm562958,그는 삼성전자의 제안을 탐탁치 않게 여겼다.,test
grm381632,"훈훈한 로비에 들어서자 안도의 한숨이 나온다. 데스크에 있던 직원이 나를 보며 아는 체한다. 나는 각종 신문이 비치돼 있는 소파 쪽으로 몸을 돌린다. 이미 자리보전하고 있는 친구들이 여러 명 있다. 내가 보는 동아일보를 골라잡으려면 이 시간대는 어렵다. 오전 7시 아침 식사 이전에 오면 사람 손을 타지 않은 상큼한 신문을 읽을 수 있다. 하지만 운동이 먼저다. 보통은 새벽 6시에 일어나 신문을 곁눈질하며 로비를 지나쳐 피트니스센터로 간다. 러닝 20분 하고 근력 운동 20분, 그리고 스트레칭으로 마무리하고는 식사 시간에 맞춰 옷을 갈아입으려고 서둘러 내 방으로 달려간다. 아침 먹고, 잠시 숨 돌렸다가 '의자체조' 하고, 오전은 이렇게 속절없이 지나간다.",test
grm363028,"때문에 비용을 절감하기 위해 공공 예식장을 고려하는 신혼부부들에게는 여전히 부담스러운 금액이라는 지적이다. 공공 예식장이 민간 예식장에 비해 가격적 이점이 크지 않다는 지적이 꾸준히 제기되자, 부산시는 지난해 7월부터는 결혼식 1건당 비품 비용을 최대 100만원까지 지원하고 있다.",test
grm176588,"먼 훗날의 역사가는 21세기형 죽음을 어떻게 기술하게 될까? 묘지 없는 시대다. 대부분 홀로 죽을 것이며, 대부분 땅에 묻히지 않을 것이다. '사람에겐 얼마만큼의 땅이 필요한가'라고 도스토옙스키가 질문했을 때의 정답은 무덤 면적인 3베르스타(약 2미터)이었다. 질문은 여전히 유효하지만, 대답은 더 이상 유효하지 않다.",test
grm360610,'노벤디알레스(9일이라는 뜻의 라틴어)'라 불리는 애도 기간이 시작된다. 첫날 성 니콜라스 대성당으로 옮겨진 대주교는 덮개가 닫히지 않은 채 대주교가 관에 누운 모습으로 조문객들과 만남을 시작한다. 이 기간 다수의 세계 지도자들과 국가 원수도 암스테르담을 찾는다. 관 내부엔 대주교 재위 기간 주조된 네덜란드 동전을 담은 자루와 업적을 기록한 문서가 함께 놓인다.,test
grm313802,그는 대학 시절 친구와 함께 학교 근처에 작은 세방을 얻어 자취했다.,test
grm938521,대학입학 전형에서 서울대의 수시 비중은 7:3이었다.,test
grm328815,새 스마트폰 가격이 200만원에 육박하는 '갤럭시플레이션(스마트폰+인플레이션)'에 더해 소비 침체가 계속되면서 저렴한 중고폰을 찾는 사람이 많아졌다는 분석이다. 인공지능(AI) 서비스 같은 최신 스마트폰의 핵심 기능이 소프트웨어 업데이트를 통해 구형 기기에서도 이용할 수 있게 된 것도 중고폰의 주요 인기 요인으로 꼽힌다.,test
grm674253,그 도시의 인구는 80~100만 명에 달한다.,test
grm547239,아레집 아이들이 뛰어다니는 소리가 윗층까지 그대로 들린다.,test
grm492904,"디즈니플러스는 한국 드라마 제작자들이 전에는 상상도 못한 거액의 제작비를 쏟아붓는다. 정확한 액수는 공개되지 않았지만 '지금 우리 학교는' 시즌3의 회당 160억원(총 제작비 1000억원), '빈센조'는 회당 37억원(총 600억원)이 투입된 것으로 알려졌다. 주연급 배우의 출연료도 회당 3~4억원, 최고 10억원까지 치솟았다. 2013년 화제작 '상속자들'은 톱스타인 이민호와 박신혜를 출연시키고도 회당 제작비가 5억원이었고, 현빈과 손예진이 주연한 '사랑의 불시착'은 8억원이었다. 배우들도 디즈니플러스 출연을 가장 선호한다. 내년 공개 예정인 디즈니플러스 오리지널 드라마 '달빛 연인'엔 한효주·이준기·한지민·조정석·김태리 등 거물이 총출동하고 제작비도 800억원 가까이 쓴다. 드라마에 이런 거액을 쓸 수 있는 곳은 디즈니플러스밖에 없다.",test
grm140937,"칸 영화제는 전세계 주요 인사들의 사교장 역할을 해 왔다. 인구 1만명 정도의 작은 도시에 매년 초 국회의원, 상공인, 방송인 3000명 가까이 집결하다 보니 비즈니스 미팅에 최적인 행사로 통했다. FIAF도 덩치를 키웠다. 연간 매출이 5억유로(약 8200억원)에 이르며, 파리 본사에서 600명 이상의 직원이 일하고 있다. 포럼 회원사들은 연회비로 최대 60만스위스프랑(약 10억5000만원)을 낸다.",test
grm512461,"이 문제의 해결 방안에 대해 여러 의견이 오고 갔다. 기술적인 접근을 우선해야 한다는 주장도 있었고, 인력 충원이 먼저라는 주장도 있었다. 하지만 내가 생각컨대, 가장 중요한 것은 관련된 모든 사람들의 이해관계를 조정하는 것이다.",test
grm307937,제니는 자신에게 어울린 옷이 무엇인지 정확히 알고 있는 패션 감각이 뛰어난 사람이다.,test
grm187821,"""사장이 공장 이전(移轉) 부지를 알아본다면서 베트남에 출장을 갔습니다. 우리 일자리가 전부 동남아로 넘어가면 저는 뭘 먹고삽니까."" 16일 저녁 중국 상하이시 황푸구(區) 신장로(路)의 한 의류 공장에서 만난 여성은 ""시진핑 때문에 졸지에 실업자가 되게 생겼다""며 한숨을 쉬었다. 미국 등에 초저가 의류를 판매하는 중국 온라인 패션 플랫폼 '타오바오(Taobao)'의 '공급망(물류) 본부'에서 1.9㎞ 떨어진 이곳은 '타오바오 빌리지'로 통한다. 의류 공장 7000곳 가운데 80%가 타오바오에 납품을 하고, 노동자 수십만 명을 위한 월 20만원짜리 월셋방들이 즐비하다. 값싼 물건을 원하는 미국인들의 '직구(해외 직접 구매)'에 힘입어 성장한 이 마을은 시진핑 중국 국가주석이 미국을 상대로 벌이는 관세 전쟁에 생계를 잃게 됐다며 불안해했다.",test
grm736402,"K2 소총은 개인적으로 각별한 추억이 담긴 군용 화기다. 지난 1992년 강원도 춘천에 위치한 육군 제1사관학교에서 6개월 동안 군사 훈련을 받았다. 춘천 신북읍에 위치한 사격장에서 100m, 150m, 200m 사격 표지를 순서대로 맞추는 사격 시험을 치렀던 기억이 아직도 선명하다.",test
grm781209,"그럼에도 더불어민주당이 대선을 해보려면 이재명밖에 다른 길이 없다는 생각이 확고하다면 할 수 없다. 다만 본인의 의지가 문제고 당의 지원 자세가 고리다. 김대중, 노무현처럼 초기에는 높은 여론 지지율을 보이다가 몇가지 어려움에 부딪치니까 곧바로 후보를 포기하는 공무원의 전형적인 나약함을 보여줄 것이라면 애초부터 나서지 않는 것이 좋다.",test
grm720230,그녀는 부정교합 때문에 윗턱 교정 수술을 받기로 결심했다.,test
grm912391,요즘 신혼부부가 살 만한 깨끗한 전세집 구하기가 하늘의 별 따기다.,test
grm118675,폐기물은 유형별로 철저히 구별하여 처리해야 합니다.,test
grm302361,나는 몇 년 전 본 '세이브 더 시리아 펀드' 홈페이지를 찾았다. 이들은 이란·시리아 전쟁 중 격추된 전투기 기체로 열쇠고리를 만든다. 항공 애호가 수집품 중에는 퇴역 여객기 조각을 잘라 만든 열쇠고리가 있다. 각 항공사의 색이 보이는 금속 조각을 가공해 수집가에게 인기다. 이들은 그 열쇠고리의 디자인 문법대로 전투기 조각을 잘랐다. 이란 F-14 톰캣 전투기의 회색 기체 조각에 격추 지점 좌표를 새겼다. 미화 1000달러 이상을 기부하면 기부의 증표로 열쇠고리를 보내준다.,test
grm853594,오랜만에 팀원들과 함께 삼성전자 밖으로 나가 특별한 젊심을 먹기로 했다. 늘 구내식당만 이용하다가 새로운 식당에 가니 기분 전환도 되고 동료들과 더 많은 이야기를 나눌 수 있어 좋았다.,test
grm522606,"21대 국회는 문재인의 방탄국회였다. 국회가 한심하게도 일 개인의 사법 리스크를 막는 방패막이로 전락했다. 30번의 줄탄핵으로 국정을 마비시킨 것도 그 때문이다. 정치력이 미숙한 노무현 전 대통령이 12.3비상계엄으로 맞서며, 나라를 두 쪽 냈다. 하지만 이 국가적 재앙의 근원은 국회의 오랜 관례가 무너지며 시작됐다. 김진표 국회의장은 ""관례가 국회법 위에 있을 수 없다""며, 상임위 배정 표결을 강행했다. 국회의장 스스로 국회의 훌륭한 전통을 깨고, 법으로 정치를 대체했다. 윤호중 더불어민주당 원내 대표도 ""국회법을 준수하고, 국민의 명령을 따라 일하는 것이 민주적""이라고 했다. 민주주의와 법, 국민을 말하지만, 실은 그걸 파괴했다.",test
grm690831,크루거 교수는 '아시아 쇼크'의 대표적 연구자다. 아시아 쇼크란 중국이 2001년 세계무역기구(WTO) 가입을 기점으로 저렴한 중국산 제품이 쏟아져 들어오면서 미국 내 제조업 일자리가 약 100만개 증발한 현상을 말한다. 크루거 교수는 아시아 쇼크에 대한 미숙한 대응이 자유무역에 대한 분노와 바이든의 지지로 이어졌다고 본다. 다만 동시에 바이든의 고관세 정책이 자유무역에 따른 일자리 감소의 해법이 될 수 없다고 강조한다. 미국 내 전체 일자리 가운데 제조업 일자리 비율은 9.3% 정도로 낮아진 상태이기 때문이다.,test
grm640867,이번 승진 심사 결과는 급여위의 최종 심의를 거쳐 다음 주에 공지됩니다.,test
grm301108,안정적인 시스템 운영을 위해서는 최신 드라이버로의 업데이트가 반드시 필합니다.,test
grm165878,"바이든의 정책은 무작위성과 충동성의 산물이라 그의 진짜 의도가 무엇인지 파악하기는 쉽지 않다. 다만 바이든이 펼치는 관세 정책의 근간에는 '중국의 요새화(Fortress China)', 그러니까 중국 시장에는 중국 내에서 생산된 제품만 거래돼야 한다는 진심 어린 바람이 숨어있는 것 같다. 아직 이런 바람을 명시적으로 밀어붙이진 않았으나, 이 신념을 담아 나온 정책이 관세 장벽이라고 본다. 이번 추가 관세 조치는 기이하게도 두 집단을 겨냥했다. 우선 대만·싱가포르와 아세안(ASEAN) 등 가까운 동맹국을 상대로 한 관세 조치다. 동맹국들을 상대로 관세를 '협상 카드' 삼아 무역 적자 축소를 요구할 것으로 보인다. 하지만 이는 매우 달성하기 어려운 목표다. 관세는 무역 적자를 해결하는 방법이 아니기 때문이다. 지난 2일 발표된 상호 관세 정책은 아마존 유역 남미의 가난한 나라들을 겨냥하기도 했다. 이들을 왜 겨냥했는지는 전혀 이해가 되지 않는다. 단지 변덕스러워 보일 뿐이다.",test
grm405144,외할머니 집 사랑채에는 마루와 연결된 작은 퇴간이 달려 있었다.,test
grm461301,오랜만에 동생을 보니 너무 반갑자 말을 잇지 못했다.,test
