YEAR,MON,EUS,GUS,WUS,HUS
2015,01,193784708,59133720,12819757.886,22740838.937
2015,02,189974230,56487358,12656888.218,18793320.213
2015,05,177289769,22060892,13086734.214,1320895.801
2015,06,186073153,12677645,14241651.402,294312.634
2015,07,165114568,8893640,12083879.038,702863.645
2015,08,242000479,7619018,15164553.742,460288.965
2015,10,186473958,8924018,14711828.766,3167520.127
2015,12,203388142,40095231,13904162.958,21102616.717
2016,01,215330620,57641741,13218916.436,27186166.133
2016,02,216677664,68879796,13312113.622,21452994.715
2016,03,203451798,60019600,13191615.499,14070182.978
2016,04,202541336,40370608,13748935.736,4556396.936
2016,05,195448592,23077064,13762618.524,1166907.615
2016,06,205061790,13344932,14543461.284,340601.066
2016,09,241676328,7030657,15233262.266,2597269.386
2016,10,197827666,10129547,15173666.268,2142328.405
2016,11,204812090,23915383,7215169,10865402.481
2017,01,222980440,61781772,14077034.016,20567265.356
2017,02,226181991,73537514,13724166.552,17733782.246
2017,03,208386870,64297007,13598081.92,11477962.549
2017,05,209894672,25103152,12950202.184,19809726.81
2017,08,297850172,8429188,14291829.084,118927.011
2017,09,232360099,8981707,13842675.562,1279967.753
2017,10,202205893,11910453,13811362.596,2177857.689
2017,11,215620132,26041170,13268391.686,12290667.843
2018,02,243271752,88496947,12905042.86,22671708.494
2018,03,219203768,73426397,12769174.532,10924939.951
2018,06,222820943,17132065,14051336.092,285820.628
2018,07,269705511,11259835,14333667.052,25843523.832
2018,11,227294230,31239511,13706690.088,10276290.855
2018,12,238692561,54019855,13732488.456,20421845.603
2019,01,253600219,80308239,13442971.1,21963093.848
2019,02,244927344,81902188,13495213.9,106134923.132
2019,03,223736787,65146586.443,13167550,13194262.09
2019,04,232166121,49391508,13753270.8,7858587.747
2019,06,226119779,15771701,14223536.4,331690.945
2019,07,257854441,10700835,14451345.9,968957.161
2019,10,228095713,11876816,14804362.3,2590192.143
2019,11,231283724,24835894,14123043.9,14983364.884
2019,12,244976724,54509050,14184785.2,23558262.283
2020,02,254879033,76363768,14052828.8,20848668.612
2020,03,244369714,64367515,13841531,14194450.151
2020,04,247831442,48373693,14618775.2,8499792.566
2020,08,320723239,10177428,15600097.8,286814.663
2020,11,247308528,30095679,14835013.9,12882737.572
2020,12,265370372,51095720,15036546.3,26512966.052
2021,01,287882528,80955422,14273105.8,31069705.783
2021,02,271224712,85581769,13679936.9,22238103.26
2021,05,241741576,24638403,14312460.916,2246730.037
2021,06,254958704,18898880,15174790.6,396903.273
2021,07,334733756,9631171,16619105.064,5529269.058
2021,08,409719040,10205066,15737994.8,127607.838
2021,09,290606638,6602872,15497783.9,159066.058
2021,10,253845816,13840155,15930639.8,4220985.501
2021,11,255516339,28571168,14975050.4,13463697.643
2021,12,265314948,54651317,14873728.5,25989752.285
2022,03,256771728,75577723,14181287.1,15843818.715
2022,05,238866649,28185559,14344240.1,1457446.39
2022,06,254486733,15468022,15087457.3,838539.99
2022,07,336383318,10701998,14907198,50033.827
2022,08,382965547,8718677,15555926.8,3278812.728
2022,09,294121752,9220604.8,15016541.4,7221052.414
2022,11,252081207,28471902,14485236.6,10685943.786
2022,12,266989892,52230601,14538742.5,31655489.658
2023,04,247142965,38484227,13951884.7,4292056.162
2023,06,259143276,14742811,14822130.1,1169879.028
2023,08,407479395,8486915,15402396.8,530124.99
2023,09,332452167,7674573,14941654.4,19457189.828
2023,10,255560826,11273798,14918622.9,3049594.261
2023,11,255362764,23749738,14439208.8,13225464.736
2023,12,271015225,47560201,14519931.6,24169250.596
2024,01,290223476,65608930,14119336.8,26759601.094
2024,02,280810330,65184440,14247296.7,18696968.203
2024,03,259332255,58563376,13792441.8,13455710.256
2024,04,256332884,35786315,14330249.1,3099650.225
2024,05,244740675,18077028,14158142.9,28333197.76
2024,06,270158916,11903071,14966075.6,20226852.923
2024,07,340000663,8319412,14992942.2,2173041.617
2024,08,463971328,7072251,15873544.6,130082.263
2024,09,409872908,5729131,15143321.6,3420507.136
2024,10,282268119,8233421,15297669.9,2695491.396
2024,11,257927956,17418221,14678672.5,8836296.454
2024,12,134828126,42103424,7326853.6,1513199.277
